,de_score,de_abs,pca_score,nmf_score,hub_degree,de_abs_norm,pca_score_norm,nmf_score_norm,hub_degree_norm,composite_score
217941_s_at,,,0.0672855691120051,1.090911559551433,,0.0,0.8861549774996871,0.9793828707878123,0.0,0.46638446207187484
218455_at,,,0.0609536343905336,1.104127812350191,,0.0,0.8007042023194872,0.9980641202923848,0.0,0.449692080652968
213026_at,,,0.06915167359548899,1.0089965986330844,,0.0,0.9113384453803993,0.8635956014025915,0.0,0.4437335116957477
202488_s_at,,,0.05889037996657631,1.1042321900146943,,0.0,0.7728601550138078,0.998211658722754,0.0,0.44276795343414044
212721_at,,,0.057965121312455695,1.104737816398898,,0.0,0.7603735971583249,0.9989263645310668,0.0,0.4398249904223479
204226_at,,,0.0575950446384022,1.1041939424429543,,0.0,0.7553793355202907,0.9981575955596549,0.0,0.4383842327699864
203538_at,,,0.057508323838162595,1.104560776502287,,0.0,0.7542090202958471,0.9986761176168155,0.0,0.43822128447816566
215001_s_at,,,0.0558754702821931,1.1048695337818764,,0.0,0.7321733221639318,0.9991125478110764,0.0,0.43282146749375205
62987_r_at,,,0.056648431170387696,1.0937612788277902,,0.0,0.7426045900126399,0.9834109654096571,0.0,0.4315038888555742
212416_at,,,0.0549472720333941,1.10467720092412,,0.0,0.7196470938672594,0.9988406842081032,0.0,0.42962194451884067
215828_at,,,0.0556414636804088,1.0979608983536138,,0.0,0.729015354433793,0.9893471518144419,0.0,0.4295906265620587
213392_at,,,0.054838727162905,1.1035790345474192,,0.0,0.7181822582785924,0.9972884197052173,0.0,0.42886766949595245
207941_s_at,,,0.055919603957657396,1.0848737675163656,,0.0,0.7327689152876555,0.970848416946674,0.0,0.4259043330585824
218532_s_at,,,0.05369547661153509,1.1046493715207355,,0.0,0.7027538544593809,0.9988013471860211,0.0,0.4253888004113505
208675_s_at,,,0.059369574878619505,1.0500410028983882,,0.0,0.7793269899541059,0.9216121033961622,0.0,0.425234773337567
202322_s_at,,,0.053757177818795396,1.103460326764815,,0.0,0.7035865250761623,0.9971206255703192,0.0,0.42517678766162037
213397_x_at,,,0.0559194919900485,1.082811279844861,,0.0,0.7327674042615007,0.9679330787355964,0.0,0.42517512074927427
202769_at,,,0.0536105775168482,1.1047052658229597,,0.0,0.7016081235300187,0.9988803541043688,0.0,0.4251221194085969
213614_x_at,,,0.06161175506645139,1.021421146936024,,0.0,0.8095856776335952,0.8811577720392365,0.0,0.42268586241820794
218284_at,,,0.05346650165185769,1.097170766355602,,0.0,0.6996637897853184,0.9882302956812276,0.0,0.42197352136663646
219396_s_at,,,0.0531835677937454,1.0974098406990995,,0.0,0.6958455385613384,0.9885682286436962,0.0,0.42110344180125864
212637_s_at,,,0.0520634531398886,1.1043511836905693,,0.0,0.6807293584879404,0.9983798569694382,0.0,0.41977730386434464
212638_s_at,,,0.051927733782530905,1.1043416698284678,,0.0,0.678897797550673,0.9983664090705234,0.0,0.4193160516552991
217491_x_at,,,0.0595801354573406,1.0306036423855176,,0.0,0.782168548729672,0.8941372822815582,0.0,0.41907645775280755
218003_s_at,,,0.05585093827133231,1.0636600216621444,,0.0,0.7318422575783045,0.9408626649136517,0.0,0.41817623062298903
209334_s_at,,,0.051412061562598796,1.1047869985337326,,0.0,0.6719386937584828,0.998995883762123,0.0,0.4177336443801515
